TickerNews,Tick,Count
Alliance Data downgraded to Market Perform from Outperform at JMP Securities,ADS,3
Alliance Data downgraded to Market Perform from Outperform at JMP Securities,ADS,3
Walker & Dunlop downgraded to Market Perform from Outperform at JMP Securities,WD,2
Walker & Dunlop downgraded to Market Perform from Outperform at JMP Securities,WD,2
Tencent Music downgraded to Sector Weight at KeyBanc amid regulatory headwinds,TME,2
Tencent Music downgraded to Sector Weight from Overweight at KeyBanc,TME,2
Sonoco downgraded to Hold from Buy at Argus,SON,2
Sonoco downgraded to Hold from Buy at Argus,SON,2
Seattle Genetics downgraded to Equal Weight from Overweight at Barclays,SGEN,2
Seattle Genetics downgraded to Equal Weight from Overweight at Barclays,SGEN,2
Kodiak Sciences downgraded to Equal Weight from Overweight at Barclays,KOD,2
Kodiak Sciences downgraded to Equal Weight from Overweight at Barclays,KOD,2
ForeScout downgraded to Neutral from Outperform at Baird,FSCT,2
Emerson downgraded to Sector Perform from Outperform at RBC Capital,EMR,2
Emerson downgraded to Sector Perform from Outperform at RBC Capital,EMR,2
Eidos Therapeutics downgraded to Underweight from Equal Weight at Barclays,EIDX,2
Eidos Therapeutics downgraded to Underweight from Equal Weight at Barclays,EIDX,2
CPI Aerostructures downgraded to Hold from Buy at Canaccord,CVU,2
Antero Resources double-downgraded to Sell from Buy at MKM Partners,AR,2
Antero Resources downgraded to Sell from Buy at MKM Partners,AR,2
American Eagle downgraded to Market Perform from Outperform at Cowen,AEO,2
Yandex downgraded yesterday to Equal Weight from Overweight at Morgan Stanley,YNDX,1
Koninklijke Vopak downgraded to Neutral from Outperform at Credit Suisse,VOPKY,1
PBF Energy downgraded to Sell from Neutral at Goldman Sachs,VLO,1
Southern Copper downgraded to Underweight from Equal Weight at Morgan Stanley,SCCO,1
Rexel downgraded to Hold from Buy at Kepler Cheuvreux,RXEEY,1
Regis Resources downgraded to Underweight from Neutral at JPMorgan,RGRNF,1
PBF Energy downgraded to Sell from Neutral at Goldman Sachs,PSX,1
PBF Energy downgraded to Sell from Neutral at Goldman Sachs,PBF,1
PBF Energy downgraded to Sell from Neutral at Goldman Sachs,PARR,1
PBF Energy downgraded to Sell from Neutral at Goldman Sachs,MPC,1
Kontoor Brands downgraded to Hold from Buy at Stifel,KTB,1
Danske Bank downgraded to Underperform from Neutral at BofA,DNKEY,1
CenturyLink downgraded to Sell from Neutral at MoffettNathanson,CTL,1
Credit Agricole downgraded to Neutral from Buy at UBS,CRARY,1
Coca-Cola HBC downgraded to Neutral from Buy at Citi,CCHGY,1
Bombardier downgraded to Sector Perform from Outperform at Scotiabank,BDRBF,1
Agnico Eagle downgraded to Sector Perform from Outperform at Scotiabank,AEM,1
